smiles,pIC50
CC(C)c1nnnn1-c1cccc(NC(=O)c2cc3c(cc2F)CCN(C(=O)N(C)CCC(F)(F)F)C3)n1,6.25964
CC(C)c1nnnn1-c1cccc(NC(=O)c2cc3c(cc2F)CCN(C(=O)OCc2ccccc2)C3)n1,6.0
CC(C)c1nnnn1-c1cccc(NC(=O)c2cc3c(cc2F)CCN(S(=O)(=O)CCC(F)(F)F)C3)n1,6.0
CC(C)c1nnnn1-c1cccc(NC(=O)c2cc3c(cc2F)CCNC3)n1,6.0
CC(C)n1cc(-c2cc(C(=O)Nc3cccc(-c4nncn4C4CC4)n3)c(=O)n(Cc3ccccc3F)c2)cn1,8.040479999999999
CC(C)n1cc(-c2ccc3c(c2)C(=O)N(c2cccc(-c4nncn4C(C)C)n2)CS3)cn1,8.21467
CC(C)n1cc(-c2ccc3c(c2)C(=O)N=C2C=CC=C(N2)c2nncn2CCCCO3)cn1,7.0
CC(C)n1cc(-c2cnc3c(c2)C(=O)N(c2cccc(-c4nncn4C(C)C)n2)CC3)cn1,8.37675
CC(C)n1cc(C2CC(N3CCN(c4cccc(-c5nncn5C(C)C)n4)C3=O)C2)cn1,8.66354
CC(C)n1cncc1-c1cccc(NC(=O)c2cn(-c3cccnc3)nc2C(F)F)n1,7.0
CC(C)n1cncc1-c1cccc(NC(=O)c2cn(-c3cncc(C#N)c3)nc2C(F)F)n1,7.0
CC(C)n1cncc1-c1cccc(NC(=O)c2cn(-c3cncc(O)c3)nc2C(F)F)n1,7.0
CC(C)n1cnnc1-c1ccc(N2CCN(c3ccc(S(C)(=O)=O)cc3)C2=O)nc1,7.0
CC(C)n1cnnc1-c1ccc2[nH]nc(-c3cc(N4CCOCC4)cc(-n4cnc(C5CC5)c4)c3)c2c1,8.123100020998612
CC(C)n1cnnc1-c1ccc2[nH]nc(-c3ccc(N4CCOCC4)c(-n4cnc(C5CC5)c4)c3)c2c1,7.215173525320382
CC(C)n1cnnc1-c1ccc2[nH]nc(-c3cccc(-c4cccnc4)c3)c2c1,7.548807854825237
CC(C)n1cnnc1-c1ccc2[nH]nc(-c3cccc(-c4ccnn4C)c3)c2c1,7.068687961757276
CC(C)n1cnnc1-c1ccc2[nH]nc(-c3cccc(-c4cnn(C)c4)c3)c2c1,7.138126917087656
CC(C)n1cnnc1-c1ccc2[nH]nc(-c3cccc(-c4cnn(C5CCOCC5)c4)c3)c2c1,7.109701824267842
